Frecuencia,Palabra,Significado
1208,要る,"v. need, want"
1209,鳥,n. bird; poultry
1210,何とか,[1] adv. somehow [2] n. something
1211,市【し】,"n. city, town"
1212,眠る,v. sleep
1213,自信,n. confidence
1214,固い,"i-adj. hard, solid, stiff"
1215,戦後,"adv., n. postwar, after the war"
1216,値段,"n. price, value, cost"
1217,通じる,"v. lead; communicate, understand"
1218,動かす,"v. move, shift, operate"
1219,トイレ,"n. toilet, restroom, bathroom"
1220,あんな,"adn. such, like that"
1221,避ける,"v. avoid, keep away from"
1222,お勧め（する）,"[1] n. recommendation, advice [2] v. recommend, advise"
1223,野球,n. baseball
1224,穴,"n. hole, pit"
1225,クリック（する）,[1] n. click [2] v. click
1226,捕らえる,"v. catch, grasp, seize, arrest"
1227,昨年,"adv., n. last year"
1228,減少（する）,"[1] n. decrease, reduction [2] v. decline, decrease"
1229,洗う,v. wash
1230,左,n. left
1231,珍しい,"i-adj. rare, unusual, unique"
1232,尋ねる,"v. ask, look for"
1233,一言,"n. one word, single word, brief comment"
1234,男の子,"n. boy, male child"
1235,制度,"n. system, institution"
1236,買い物（する）,[1] n. shopping [2] v. go shopping
1237,チーム,n. team
1238,登場（する）,"[1] n. entry, appearance [2] v. appear, emerge"
1239,期間,"n. period, term, interval"
1240,金額,n. amount of money
1241,塩,n. salt
1242,奥,"n. inner part, back; bottom"
1243,九,num. nine
1244,まだまだ,"adv. still, still more"
1245,習う,"v. take lessons, be taught, learn"
1246,番組,"n. show, program"
1247,一時,"adv., n. at one time, temporary, for a while"
1248,ケース,n. case
1249,傾向,"n. tendency, trend, inclination"
1250,日々,"[1] adv. every day, daily [2] n. days"
1251,拡大（する）,"[1] n. enlargement, expansion [2] v. enlarge, expand"
1252,レベル,n. level
1253,よろしく,"adv. well, properly, best regards"
1254,疑問,"n. question, problem, doubt"
1255,それなり,"n. in itself, as it is, in its way"
1256,現状,"n. present condition, existing state"
1257,ドイツ,n. Germany
1258,取り上げる,"v. pick up, adopt; take away"
1259,主に,"adv. mainly, for the most part, chiefly"
1260,伯母,n. aunt
1261,パン,n. bread
1262,クラス,n. class
1263,肉,"n. meat, flesh, fat"
1264,なるべく,"adv. as ... as possible, if possible"
1265,指,n. finger
1266,態度,"n. attitude, manner, behavior"
1267,地,"n. earth, ground, land, place"
1268,全国,"n. nationwide, whole country, national"
1269,答え,"n. answer, solution"
1270,世話（する）,"[1] n. care [2] v. take care of, look after"
1271,差,"n. difference, gap, margin"
1272,一切,"adv., n. all, entirely, not ... at all"
1273,食う,"v. eat, consume"
1274,文章,"n. sentence; writing, text"
1275,背景,"n. background, context, setting"
1276,負担（する）,"[1] n. burden, load, charge [2] v. bear"
1277,事情,"n. circumstance, situation, reason"
1278,メンバー,"n. member, participant"
1279,ようやく,"adv. at last, gradually, barely"
1280,地方【ちほう】,"n. area, district, countryside"
1281,豊か,"na-adj. abundant, plentiful, rich"
1282,助ける,"v. help, rescue, save"
1283,詰まる,"v. be blocked, be packed, be clogged"
1284,一個,"n. one, piece"
1285,大阪,n. Osaka
1286,果たす,"v. carry out, achieve, fulfil"
1287,支える,"v. support, hold, sustain"
1288,抱える,"v. hold, carry, employ"
1289,大分,"adv. very, a lot, much"
1290,追う,"v. follow, chase, pursue"
1291,権利,"n. right, claim, entitlement"
1292,何々,"pron. such and such, this and that"
1293,計算（する）,"[1] n. calculation [2] v. calculate, count, figure"
1294,痛み,"n. pain, ache"
1295,返す,v. return; repay; turn over
1296,庭,"n. garden, yard"
1297,納得（する）,"[1] n. agreement [2] v. understand, be convinced"
1298,組織（する）,"[1] n. organization, structure [2] v. organize"
1299,能力,"n. ability, capacity, power; proficiency"
1300,人口,n. population
1301,薄い,"i-adj. thin, light, weak"
1302,注,"n. note, annotation, comment"
1303,二回,n. twice
1304,治療（する）,"[1] n. cure, treatment, therapy [2] v. treat, cure"
1305,昼,n. noon; daytime
1306,を通じて,"cp. throughout, across, through"
1307,せっかく,"adv. with effort, take the trouble to"
1308,赤い,i-adj. red
1309,比較的,"na-adj. comparative, relative"
1310,サービス（する）,"[1] n. service [2] v. attend, serve"
1311,何人,n. how many people
1312,荷物,"n. baggage, parcel, burden"
1313,魅力,"n. charm, attraction, appeal"
1314,現場,"n. field, scene, spot"
1315,道具,"n. tool, instrument"
1316,遠く,"[1] adv. far, remote [2] n. distance"
1317,中学,n. junior high school
1318,村,n. village
1319,システム,n. system
1320,あそこ,"pron. there, over there"
1321,十時,n. ten o’clock
1322,息,"n. breath, respiration"
1323,伝わる,"v. spread, descend, travel"
1324,撮影（する）,"[1] n. shooting [2] v. shoot, photograph"
1325,指導（する）,"[1] n. guidance [2] v. guide, coach"
1326,生かす,v. keep alive; make use of
1327,韓国,"n. Korea, South Korea, Republic of Korea"
1328,字【じ】,"n. letter, character; handwriting"
1329,指定（する）,[1] n. appointment [2] v. specify
1330,経営（する）,"[1] n. management [2] v. manage, run"
1331,あらゆる,"adn. every, all, any"
1332,価値,"n. value, worth"
1333,南,n. south
1334,成立（する）,"[1] n. completion [2] v. establish, conclude, come into existence"
1335,季節,n. season
1336,導入（する）,[1] n. introduction [2] v. introduce
1337,ことにする,"aux. decide to, pretend to"
1338,一枚,"n. one (sheet, slice)"
1339,い,p. disc. QUESTION
1340,先輩,"n. senior, elder"
1341,全員,"adv., n. all members, everyone"
1342,にしても,"cp. even if, even though"
1343,四人,n. four people
1344,人物,"n. person, character"
1345,距離,n. distance
1346,泊まる,v. stay
1347,充実（する）,"[1] n. fullness [2] v. enrich, fullfill"
1348,によると,cp. according to
1349,コミュニケーション（する）,[1] n. communication [2] v. communicate
1350,散歩（する）,"n., v. walk, stroll"
1351,グループ,"n. group, team"
1352,黒い,i-adj. black
1353,九時,n. nine o’clock
1354,石,"n. stone, rock"
1355,エネルギー,"n. energy, power"
1356,挨拶（する）,[1] n. greeting [2] v. greet
1357,愛,"n. love, affection"
1358,比較（する）,[1] n. comparison [2] v. compare
1359,結ぶ,"v. tie, connect, unite"
1360,移る,"v. move, transfer, shift"
1361,従来,"adv., n. up to now, conventional, traditional"
1362,嫌い,"na-adj. dislike, hate"
1363,注目（する）,"[1] n. attention [2] v. pay attention, watch"
1364,携帯（する）,[1] n. portable [2] v. carry
1365,休む,"v. take a rest, be absent from"
1366,甘い,i-adj. sweet; soft
1367,最高,"n., na-adj. best, highest"
1368,弟,n. younger brother
1369,卵,"n. egg, spawn"
1370,服,"n. clothes, dress, outfit"
1371,赤ちゃん,"n. baby, infant"
1372,始め,"adv., n. beginning, origin"
1373,要求（する）,"[1] n. demand, request, claim [2] v. demand, request, claim"
1374,紙,n. paper
1375,妹,n. younger sister
1376,額【がく】,n. amount of money; frame
1377,交ぜる,"v. mix, shuffle"
1378,抱く,"v. have, hold, embrace"
1379,出来上がる,"v. be completed, be finished, be ready"
1380,小説,"n. novel, fiction, story"
1381,訪れる,"v. visit, call on, arrive"
1382,汗,"n. sweat, perspiration"
1383,特別,"na-adj. special, particular"
1384,改善（する）,"[1] n. improvement, reform [2] v. improve"
1385,休み,n. holiday; rest; be closed
1386,咲く,v. bloom
1387,基本,"n. foundation, basis, basic"
1388,暑い,"i-adj. hot, warm"
1389,向く,"v. turn, face, look"
1390,ますます,"adv. more and more, increasingly"
1391,最終的,"na-adj. final, last, ultimate"
1392,感情,"n. feeling, emotion"
1393,我慢（する）,"[1] n. patience, endurance, tolerance [2] v. be patient, endure"
1394,浮かぶ,"v. float, rise"
1395,利益,"n. profit, benefit, gain"
1396,先日,"adv., n. the other day, recently"
1397,裏,"n. reverse, back; rear"
1398,もたらす,"v. bring, cause,"
1399,姉,n. elder sister
1400,問う,"v. ask, question; charge"
1401,継ぐ,"v. succeed, take over"
1402,北海道,n. Hokkaido
1403,構成（する）,"[1] n. constitution, structure [2] v. compose"
1404,反応（する）,"[1] n. reaction, response [2] v. respond"
1405,ナイフ,n. knife
1406,（お）じいさん,n. grandfather
1407,新宿,n. Shinjuku (place name)
1408,活用（する）,"[1] n. application [2] v. exploit, take advantage of"
1409,正直,"[1] n. honesty [2] na-adj. honest, truthful [3] adv. honestly"
1410,黒,n. black
1411,スーパー,n. supermarket
1412,プロ,"n. professional, pro"
1413,渡す,"v. carry across, hand, transfer"
1414,掲げる,"v. hang out, hold up"
1415,京都,n. Kyoto
1416,就職（する）,"[1] n. job hunting [2] v. find employment, get a job"
1417,立派,"na-adj. fine, splendid, great"
1418,舞台,"n. stage, scene"
1419,現地,"n. field, on-site, local"
1420,数字,"n. number, figure"
1421,提出（する）,"[1] n. submission [2] v. submit, hand in"
1422,コンピュータ,n. computer
1423,東京都,"n. Tokyo, Tokyo metropolitan government, Tokyo metropolitan area"
1424,から,conj. because
1425,弾く【ひく】,v. play (musical instrument)
1426,自宅,"n. home, house"
1427,腹,"n. belly, stomach"
1428,喜び,"n. pleasure, delight"
1429,しようがない、しょうがない,"i-adj. it can’t be helped, nothing can be done"
1430,風呂,n. bath
1431,香り,"n. smell, scent"
1432,スキー,n. ski; skiing
1433,構う,"v. mind, care about"
1434,受け入れる,"v. receive, accept, agree"
1435,お菓子,"n. sweets, snack food"
1436,無料,"n. free, no charge"
1437,付き合い,"n. association, acquaintance"
1438,私共,pron. we
1439,被害,"n. damage, harm"
1440,椅子,n. chair
1441,直す,"v. fix, repair, mend"
1442,桜,n. cherry tree; cherry blossom
1443,回答（する）,"[1] n. answer, response, reply [2] v. answer, respond, reply"
1444,ゲーム,n. game
1445,ことはない,"aux. not have to, there is no need for"
1446,個人的,"na-adj. private, personal, individual"
1447,活躍（する）,"[1] n. activity, action [2] v. be active, flourish"
1448,試験（する）,"[1] n. exam, test, trial [2] v. examine"
1449,身近,"na-adj. familiar, close"
1450,苦しい,"i-adj. painful, hard, difficult"
1451,恥ずかしい,"i-adj. ashamed, embarrassed"
1452,金【きん】,"n. gold, money"
1453,ただ,"n. just, mere, only"
1454,検査（する）,[1] n. inspection [2] v. inspect
1455,皮、革,"n. skin, hide, jacket"
1456,白,n. white; innocence
1457,足りる,"v. be sufficient, be enough, be worthy"
1458,代表（する）,"[1] n. representative [2] v. represent, stand for"
1459,夕方,"adv., n. evening"
1460,下がる,"v. fall, drop, step back"
1461,実感（する）,[1] n. real feeling [2] v. actually feel
1462,有する,v. have
1463,抜く,"v. pull, extract"
1464,回す,"v. turn, rotate, spin"
1465,敵【てき】,"n. enemy, opponent"
1466,側【がわ】,n. side
1467,分かれる,"v. divide, split, part"
1468,見つめる,"v. stare, gaze"
1469,祭り,n. festival
1470,抜ける,v. fall out; come loose; be omitted; leave
1471,仕様,"n. style, specification, method"
1472,最大,"n. biggest, largest"
1473,スタート（する）,"[1] n. start [2] v. get off, start"
1474,なり,"p. or, whether or not"
1475,沖縄,n. Okinawa
1476,設ける,"v. institute, set up"
1477,でもって,"cp. by, with, in"
1478,幼稚園,"n. preschool, kindergarten"
1479,二度,n. twice
1480,処理（する）,"[1] n. management, processing [2] v. manage, process"
1481,困難,[1] n. difficulty [2] na-adj. difficult
1482,あくまで,"adv. only, to the last"
1483,分野,"n. field, discipline"
1484,間違う,"v. be wrong, make a mistake"
1485,姿勢,"n. posture, attitude"
1486,ショック,n. shock
1487,暇,"na-adj., n. free, not busy"
1488,つい,"adv. without thinking, unintentionally"
1489,土【つち】,n. soil
1490,隠す,"v. hide, conceal"
1491,緊張（する）,[1] n. tension [2] v. get tense
1492,それとも,conj. or
1493,帰り,n. return
1494,三日,n. third (date); three days
1495,戦う,v. fight
1496,単に,"adv. just, simply"
1497,席,n. seat
1498,つる,v. hang
1499,達する,v. reach
1500,小学生,"n. elementary school pupil, primary school pupil"
1501,ついに,"adv. at last, finally"
1502,具合,n. condition
1503,歯,n. tooth
1504,ベッド,n. bed
1505,無事,[1] adv. safely [2] n. safety [3] na-adj. safe
1506,身体,n. body
1507,何年,"n. what year, how many years"
1508,星,n. star
1509,携帯電話,n. cell phone
1510,砂糖,n. sugar
1511,切れる,"v. expire, run out"
1512,維持（する）,"[1] n. maintenance, preservation [2] v. keep, maintain"
1513,高さ,n. height
1514,太陽,n. sun
1515,会場,n. hall; site
1516,素敵,"na-adj. lovely, nice, wonderful"
1517,湯,n. hot water
1518,そもそも,"adv., n. in the first place"
1519,約束（する）,"[1] n. promise, appointment [2] v. promise, make an appointment"
1520,ワイン,n. wine
1521,高校生,n. high school student
1522,イベント,n. event
1523,二日,n. second (date); two days
1524,売れる,v. sell
1525,少なくとも,adv. at least
1526,米国,n. United States
1527,周囲,n. surroundings
1528,伺う,"v. ask, inquire"
1529,引っ越す,v. move (house)
1530,二十年,n. twenty years
1531,たまる,"v. accumulate, build up"
1532,精神的,na-adj. spiritual
1533,中学校,n. junior high school
1534,仲良く,adv. friendly
1535,言い方,n. way to say
1536,バランス,n. balance
1537,五年,n. five years
1538,安定（する）,[1] n. stability [2] v. become stable
1539,完成（する）,[1] n. completion [2] v. complete
1540,我が家,"n. one’s house, one’s family, one’s home"
1541,見かける,v. see
1542,広げる,"v. spread, expand"
1543,参考,n. reference
1544,たとえ,adv. even if
1545,受け取る,"v. get, accept"
1546,冷たい,i-adj. cold
1547,望む,v. hope
1548,適用（する）,[1] n. application [2] v. apply
1549,宗教,n. religion
1550,一年間,n. one year
1551,範囲,"n. extent, range"
1552,接する,"v. adjoin, come in contact"
1553,戻す,"v. put back, restore"
1554,すっかり,"adv. entirely, completely"
1555,低下（する）,"[1] n. decline, fall [2] v. decline, fall"
1556,政治,n. politics
1557,なんら,adv. nothing
1558,取り組む,"v. tackle, deal with"
1559,余裕,n. leeway
1560,パリ,n. Paris
1561,にて,p. case by; in; at
1562,奥さん,n. wife
1563,遅れる,"v. be late, be delayed"
1564,担当（する）,[1] n. charge [2] v. be in charge of
1565,向上（する）,"[1] n. improvement, progress [2] v. improve, advance"
1566,機械,n. machine
1567,CD(CD),"n. CD, compact disk"
1568,寄る,v. stop by; move to one side
1569,都市,n. city
1570,費用,n. cost
1571,運転（する）,"[1] n. driving, operation [2] v. drive"
1572,生地,"n. cloth, material; dough"
1573,さあ,"interj. come on, now, well"
1574,だけでなく,cp. not only
1575,予想（する）,[1] n. expectation [2] v. expect
1576,一層,"adv., n. more"
1577,旦那,n. husband
1578,経る,"v. pass through, experience"
1579,揃う,v. become complete; be equal
1580,下げる,v. lower; hang
1581,誘う,v. invite
1582,重ねる,v. stack; repeat
1583,採用（する）,"[1] n. adoption, employment [2] v. employ"
1584,価格,n. price
1585,飾る,v. decorate
1586,がん,n. cancer.
1587,土【ど】,n. Saturday
1588,週,n. week
1589,細い,"i-adj. thin, narrow, slender"
1590,直る,v. be repaired; be corrected; get better
1591,単純,na-adj. simple
1592,ファックス（する）,[1] n. fax [2] v. fax
1593,アルバイト,n. part-time job
1594,北,n. north
1595,一生,n. life
1596,ファン,n. fan
1597,及ぶ,v. reach
1598,後【のち】,"n., adv. after, later"
1599,調子,"n. condition, tone"
1600,基準,n. standard
1601,植物,n. plant
1602,契約（する）,"n., v. contract"
1603,組む,v. pair with; cross
1604,叫ぶ,v. shout
1605,若者,n. youth
1606,手段,n. means
1607,下ろす,v. take down; unload; withdraw; fillet (fish); grate
1608,明治,n. Meiji period
1609,形成（する）,[1] n. formation [2] v. take form
1610,マンガ,"n. comics, cartoon"
1611,ドラマ,"n. TV drama, drama"
1612,いよいよ,"adv. finally, at last"
1613,高齢者,n. senior citizen
1614,無駄,"[1] na-adj. useless, futile [2] n. waste"
1615,髪,n. hair
1616,管理（する）,"[1] n. control, management [2] v. manage, control"
1617,サッカー,"n. football, soccer"
1618,工場,n. factory
1619,正確,"na-adj. correct, exact, accurate"
1620,夫婦,n. (married) couple
1621,監督（する）,"[1] n. manager, director, proctor, invigilator [2] v. supervise, direct"
1622,鍋,"n. pan, pot; hot-pot"
1623,バイト,n. part-time job
1624,１０分【じゅっぷん】,n. ten minutes
1625,外す,"v. undo; take off, remove"
1626,何でも,adv. anything; nothing; everything
1627,階段,n. stairs
1628,オーストラリア,n. Australia
1629,そこで,conj. so
1630,オーケー,n. O.K.
1631,発達（する）,[1] n. development [2] v. develop
1632,適当,"na-adj. proper, appropriate, suitable; irresponsible, whimsical"
1633,戦い,"n. fight, battle"
1634,挟む,"v. put in, sandwich between; catch in"
1635,鼻,n. nose
1636,会【かい】,"n. meeting, gathering"
1637,数年,n. several years
1638,現代,"n. the present age, today"
1639,回復（する）,[1] n. recovery [2] v. recover
1640,すみません,interj. Thank you; I am sorry; Excuse me
1641,コーヒー,n. coffee
1642,塗る,v. spread; paint
1643,老人,"n. old person, the old"
1644,共通（する）,"n., v. common"
1645,一瞬,"n., adv. a moment, an instant"
1646,面倒,"[1] na-adj. troublesome [2] n. bother, care"
1647,開始（する）,"[1] n. beginning, start [2] v. begin, start"
1648,翌日,n. next day
1649,しまう,v. put away
1650,商店街,n. shopping street
1651,原則,n. principle
1652,販売（する）,[1] n. sale [2] v. sell
1653,諦める,"v. give up, quit"
1654,場面,"n. scene, sight"
1655,障害,"n. obstacle, handicap"
1656,やや,"adv. a little, slightly"
1657,一定（する）,"n., v. a certain, fixed, constant"
1658,いかが,na-adj. how
1659,上手【じょうず】,"na-adj. good, skillful"
1660,関連（する）,"[1] n. relation, connection [2] v. be related, be connected"
1661,笑顔,n. smile
1662,真ん中,n. middle
1663,ビール,n. beer
1664,正月,n. New Year
1665,すら,p. even
1666,デザイン（する）,[1] n. design [2] v. design
1667,わざわざ,"adv. take the trouble, especially"
1668,あふれる,"v. overflow, be filled with"
1669,葉,n. leaf
1670,種【しゅ】,"n. kind, species"
1671,迷惑（する）,"[1] na-adj. troublesome, annoying [2] n. annoyance, nuisance, trouble [3] v. be inconvenienced"
1672,つかむ,"v. catch, grasp"
1673,締める,v. tie; tighten
1674,ラジオ,n. radio
1675,入る【いる】,"v. come in, enter; join"
1676,じっと（する）,"adv., v. still, fixedly, intently"
1677,うなずく,v. nod
1678,餌,n. feed; bait
1679,背中,n. back
1680,両方,n. both
1681,床【ゆか】,n. floor
1682,囲む,v. surround
1683,並べる,v. arrange; line up; enumerate
1684,黙る,"v. hold one’s tongue, become silent"
1685,きり,p. only
1686,風景,"n. scenery, landscape"
1687,ごとし,"aux. like, as if (Classical)"
1688,保存（する）,"[1] n. preservation, storage [2] v. preserve, store"
1689,社長,n. company president
1690,目立つ,"v. be conspicuous, stand out"
1691,保護（する）,[1] n. protection [2] v. protect
1692,確実,"na-adj. certain, sure"
1693,経済,n. economy; finance
1694,等【とう】,suffix and so on
1695,演奏（する）,"[1] n. (musical) performance [2] v. perform, play"
1696,増やす,"v. increase, add"
1697,温泉,"n. hot spring, spa"
1698,工夫（する）,"[1] n. device, idea [2] v. devise, plan"
1699,触る,v. touch
1700,教室,"n. classroom, ... school"
1701,登録（する）,"[1] n. registration, entry [2] v. register, enroll"
1702,長さ,n. length
1703,資格,n. qualification; capacity
1704,明確,"na-adj. clear, definite"
1705,記載（する）,"[1] n. registration entry [2] v. record, write down"
1706,肌,n. skin
1707,倒れる,"v. fall (down), collapse"
1708,症状,n. symptom
1709,普及（する）,"[1] n. spread, diffusion [2] v. spread"
1710,すると,"conj. then, if so"
1711,優れる,v. be superior
1712,返事（する）,"[1] n. answer, reply [2] v. answer, reply"
1713,職場,n. workplace
1714,取り出す,"v. take out, extract"
1715,骨【ほね】,n. bone
1716,平和,[1] n. peace [2] na-adj. peaceful
1717,間違い,"n. mistake, error"
1718,まい,aux. INTENTION OF NEGATION
1719,けんか（する）,"[1] n. fight, quarrel [2] v. fight, quarrel"
1720,偉い,"i-adj. great, big"
1721,くださる,v. give (honorific)
1722,熱い,"i-adj. hot, heated"
1723,当日,"n. that day, current day"
1724,残り,"n. rest, remainder"
1725,支援（する）,"[1] n. support, assistance [2] v. support, assist"
1726,実行（する）,[1] n. practice [2] v. carry out
1727,握る,"v. hold, grasp, clasp"
1728,出会い,n. encounter
1729,体重,n. (body) weight
1730,上司,n. boss
1731,結論,n. conclusion
1732,け,p. disc. QUESTION ABOUT SOMETHING SPEAKER FORGOT
1733,テーブル,n. table
1734,盛ん,na-adj. popular; active; prosperous
1735,急ぐ,v. hurry
1736,ともかく,"adv. in any case, anyway"
1737,犯人,"n. criminal, culprit"
1738,熱,n. fever; heat
1739,犯罪,"n. crime, offense"
1740,批判（する）,[1] n. criticism [2] v. criticize
1741,出発（する）,[1] n. departure [2] v. leave
1742,遊び,"n. play, game"
1743,教師,n. teacher
1744,横浜,n. Yokohama
1745,脳,n. brain
1746,レストラン,n. restaurant
1747,そろそろ,adv. soon; slowly
1748,日曜日,n. Sunday
1749,けが（する）,"[1] n. injury [2] v. hurt, injure"
1750,兄弟,n. brother; sister; sibling
1751,楽器,n. musical instrument
1752,保つ,"v. keep, maintain"
1753,自動車,n. car
1754,ほんの,"adn. just, nothing but, only"
1755,カメラ,n. camera
1756,寺,n. temple
1757,ビデオ,n. video
1758,適切,"na-adj. suitable, proper"
1759,見事,[1] na-adj. excellent [2] adv. completely
1760,底,n. bottom; sole
1761,刺激（する）,"n., v. stimulate, incite, excite"
1762,勢い,n. speed; force; vigor
1763,吹く,v. blow; breathe out; play (musical instrument)
1764,今日【こんにち】,"adv. today, these days"
1765,迷う,v. get lost; cannot decide
1766,背【せ】,n. stature; back
1767,生【なま】,n. raw; fresh; live
1768,訴える,v. sue; complain; appeal
1769,精神,"n. mind, spirit"
1770,把握（する）,[1] n. grasp [2] v. grasp
1771,対する,"v. toward, against; compare, receive"
1772,十二,num. twelve
1773,じゃ,"aux. COPULA is, are"
1774,地震,n. earthquake
1775,応援（する）,"[1] n. support [2] v. cheer, support"
1776,人類,"n. human race, mankind"
1777,上昇（する）,[1] n. rise [2] v. rise
1778,空間,n. space
1779,複雑,"na-adj. complicated, complex"
1780,特定（する）,[1] n. specific [2] v. specify
1781,高める,v. raise
1782,以外,n. except
1783,観点,"n. viewpoint, standpoint"
1784,努める,v. make efforts
1785,二時間,n. two hours
1786,きつい,"i-adj. tight; hard, severe; strong"
1787,祖母,n. grandmother
1788,プラス（する）,"[1] n. plus, benefit [2] v. benefit, add to"
1789,大抵,adv. usually
1790,狙う,v. aim at
1791,知り合い,n. acquaintance
1792,迫る,"v. approach, draw near; demand"
1793,どうぞ,adv. please
1794,消す,"v. put out, turn off; erase"
1795,唯一,"n., adv. only"
1796,連中,"n. company, crowd; those guys"
1797,青い,i-adj. blue; pale; unripe
1798,終了（する）,"[1] n. end [2] v. end, be over"
1799,をもって,cp. by; with; as of
1800,前提,"n. assumption, premise"
1801,四つ,num. four
1802,未来,n. future
1803,僕ら,pron. we
1804,立ち上がる,"v. stand up, rise"
1805,同,n. same
1806,推移（する）,"[1] n. transition, change [2] v. change, shift"
1807,なくす,v. lose
1808,有効,na-adj. valid; effective
1809,次々,adv. one after another
1810,上で,cp. after; in the context of
1811,国内,"n. domestic, home"
1812,が,conj. but
1813,都合（する）,"[1] n. convenience, circumstances [2] v. arrange [3] adv. altogether"
1814,主な,"adn. main, chief"
1815,ふと,adv. casually; suddenly
1816,四年,n. four years
1817,無視（する）,"n., v. neglect, ignore"
1818,一気,"adv., n. at a stretch, in one gulp"
1819,手続き,"n. procedure, formalities"
1820,波,n. wave
1821,仲,"n. relations, terms"
1822,中学生,n. junior high school student
1823,イタリア,n. Italy
1824,のぞく,"v. look through, look down; drop in"
1825,誕生（する）,"[1] n. birth [2] v. be born, be created"
1826,汚い,i-adj. dirty; unfair; vulgar
1827,畑,"n. field (for fruit, vegetables); garden"
1828,履く,"v. put on, wear"
1829,膝,"n. knee, lap"
1830,提案（する）,[1] n. proposal [2] v. propose
1831,業務,"n. business, work"
1832,幸い,"[1] na-adj. lucky, fortunate [2] n. happiness [3] adv. fortunately"
1833,かわいそう,"na-adj. pitiful, miserable"
1834,画像,"n. picture, image"
1835,孫,n. grandchild
1836,つなぐ,"v. connect, tie"
1837,包む,v. wrap
1838,思い切る,v. give up; venture
1839,事態,n. situation
1840,夜中【よなか】,n. middle of the night
1841,改める,v. change; reform
1842,集中（する）,[1] n. concentration [2] v. concentrate
1843,両手,"n. both hands, both arms"
1844,指示（する）,"[1] n. instruction, direction [2] v. instruct, direct"
1845,結婚式,n. wedding ceremony
1846,虫,"n. insect, bug; worm"
1847,バイク,"n. motorcycle, motorbike"
1848,確立（する）,[1] n. establishment [2] v. establish
1849,到着（する）,[1] n. arrival [2] v. arrive
1850,かく,v. scratch; paddle; shovel
1851,痩せる,"v. become thin, lose weight"
1852,親父,n. father; old man; boss
1853,なくてはいけない,"cp. have to, must"
1854,試す,"v. try, attempt"
1855,終える,"v. finish, end"
1856,遥か,"na-adj. faraway, far"
1857,受験（する）,[1] n. examination [2] v. take an examination
1858,医師,n. doctor
1859,バンド,n. band; belt
1860,体力,n. physical strength
1861,国家,"n. state, country, nation"
1862,ソフト,[1] n. software [2] na-adj. soft
1863,長男,n. eldest son
1864,0,n. zero
1865,さっき,"adv., n. a little while ago"
1866,ごく,adv. very
1867,入力（する）,[1] n. input [2] v. type
1868,CM(CM),n. commercial
1869,十一,num. eleven
1870,チャンス,n. chance
1871,別れる,"v. part; divorce, break up"
1872,昼間,n. daytime
1873,生産（する）,[1] n. production [2] v. produce
1874,要,n. in short
1875,収める,"v. obtain, gain; put; keep"
1876,掃除（する）,[1] n. cleaning [2] v. clean
1877,強化（する）,"n., v. tighten, strengthen"
1878,主婦,n. housewife
1879,徐々,n. gradually
1880,メーカー,"n. maker, manufacturer"
1881,あり得る,"v. be possible, be likely, be probable"
1882,記す,v. write down; mark
1883,うわさ（する）,"[1] n. gossip, rumor [2] v. talk about"
1884,保険,n. insurance
1885,規制（する）,[1] n. regulation [2] v. regulate
1886,もの,p. because
1887,感想,"n. feeling, impression"
1888,左右（する）,"[1] n. right and left [2] v. determine, influence"
1889,促進（する）,[1] n. promotion [2] v. promote
1890,景色,"n. scenery, view, scene"
1891,味わう,"v. taste, savor"
1892,アジア,n. Asia
1893,交流（する）,"[1] n. interchange, exchange [2] v. interact"
1894,報道（する）,[1] n. report [2] v. report
1895,当初,"[1] n. beginning, original [2] adv. at first"
1896,インド,n. India
1897,観察（する）,[1] n. observation [2] v. observe
1898,電気,n. electricity; electric light
1899,癖,"n. habit, peculiarity"
1900,たいした,"adn. not big, not much; great, quite"
1901,あり方,"n. way something ought to be, state of things"
1902,どころ,"p. far from, on the contrary, can’t even"
1903,好み,"n. liking, taste"
1904,はまる,v. fit; fall; be addicted to
1905,早速,"adv. at once, lose no time in doing"
1906,支払う,v. pay
1907,市民,"n. resident (of a city), citizen"
1908,メリット,"n. merit, advantage"
1909,近年,adv. in recent years
1910,分かりやすい,i-adj. easy to understand
1911,製品,n. product
1912,果たして,adv. really; just as one thought
1913,得意,"na-adj. n. be good at, be proud; customer"
1914,二週間,n. two weeks
1915,問い合わせ【といあわせ】,n. inquiry
1916,あっ,"interj. Ah!, Oh!, Hey!"
1917,何だか,adv. somewhat; somehow
1918,過程,n. process
1919,仕組み,"n. structure, mechanism"
1920,慌てる,"v. be flustered, be in a hurry"
1921,ざるを得ない,"cp. have to, cannot help doing"
1922,措置（する）,[1] n. measure [2] v. take measures
1923,油,n. oil
1924,半年,n. half a year
1925,視線,"n. eyes, gaze, look"
1926,構造,n. structure
1927,筋肉,n. muscle
1928,少々,"adv. a little, a minute"
1929,対策,n. measure
1930,濃い,i-adj. thick; strong; heavy; deep
1931,異常,[1] na-adj. abnormal [2] n. disorder
1932,図書館,n. library
1933,靴,n. shoe
1934,おそれ,"n. fear, danger"
1935,二階,n. second floor
1936,あえて,adv. dare
1937,三回,n. three times
1938,引っ越し（する）,"[1] n. moving, removal [2] v. move house"
1939,失礼（する）,"[1] n. rudeness, impoliteness [2] v. be rude, be impolite [3] na-adj. rude, impolite"
1940,太る,"v. get fat, gain weight"
1941,街、町,"n. town, city"
